PPI,Porosity,Re,Dh,f,Nu
40,0.95,300,0.005217,43.5528,43.2037
10,0.98,1100,0.00375,2.4553,61.6664
20,0.85,1700,0.0042,5.55874,130.546
40,0.98,700,0.005455,25.651,49.8466
50,0.9,900,0.0042,25.2089,88.0563
5,0.95,1100,0.0042,1.50262,76.4287
30,0.8,1300,0.005,13.6688,140.443
40,0.95,900,0.0042,17.3216,68.7877
50,0.9,1100,0.005,29.5392,101.519
20,0.85,700,0.00375,6.55237,86.2443
20,0.95,300,0.005455,15.2866,41.5742
30,0.85,1700,0.005217,12.5768,143.087
20,0.95,900,0.005,8.75515,70.4241
40,0.8,500,0.005217,45.6761,93.9079
10,0.95,1100,0.005357,3.99837,76.8262
10,0.95,500,0.0042,3.57792,46.8561
30,0.95,500,0.005217,20.2387,54.352
20,0.9,1100,0.0042,6.58948,92.0723
50,0.9,300,0.004615,61.073,55.4226
20,0.9,700,0.005217,10.1847,78.5734
20,0.85,300,0.00375,10.4047,63.4973
10,0.95,1100,0.005217,3.88879,76.491
20,0.9,1100,0.0042,6.58948,92.0723
50,0.9,1100,0.005,29.5392,101.519
10,0.95,1300,0.005357,3.91028,85.6833
5,0.85,1500,0.004615,1.28934,109.239
10,0.95,1300,0.005,3.63927,84.8434
40,0.85,500,0.003,15.9435,78.8111
40,0.98,300,0.003,16.5201,28.1373
5,0.8,700,0.005217,1.55481,80.4168
40,0.8,900,0.005,27.2558,121.215
20,0.85,1100,0.0042,6.36797,106.79
50,0.9,100,0.005,182.741,34.5984
20,0.9,700,0.005217,10.1847,78.5734
30,0.95,700,0.005357,17.9623,64.6405
30,0.8,1100,0.005,15.0067,130.397
20,0.85,1500,0.005357,7.85691,131.777
20,0.98,1100,0.0042,6.06271,59.5255
50,0.8,500,0.00375,37.7873,93.8036
10,0.9,300,0.004615,4.72428,48.0464
10,0.8,500,0.005,4.31104,81.1906
20,0.95,1500,0.0042,6.40207,89.3804
10,0.8,1700,0.004615,2.51902,137.707
40,0.9,900,0.003,11.2452,80.2883
20,0.85,900,0.00375,5.9069,95.4527
5,0.98,100,0.004615,2.62846,15.1571
40,0.8,300,0.005217,70.2722,74.9591
40,0.9,500,0.005357,36.9476,70.8031
30,0.85,500,0.005357,25.6487,81.8339
5,0.98,300,0.00375,1.49438,25.817
30,0.85,1300,0.004615,11.8485,121.89
30,0.98,100,0.005,53.1179,18.6698
20,0.85,1300,0.005,7.54401,120.656
40,0.85,700,0.005,29.4445,95.5975
50,0.98,1500,0.00375,15.1906,65.7049
10,0.9,700,0.005217,4.07546,71.623
50,0.9,1100,0.0042,22.7966,96.341
20,0.8,300,0.005217,19.8676,72.3343
20,0.9,100,0.005357,37.2578,32.8725
20,0.85,300,0.005357,18.4833,63.1778
20,0.95,700,0.005357,10.2964,62.916
40,0.98,500,0.004615,23.9007,39.8762
30,0.95,900,0.0042,11.8019,68.3162
5,0.95,500,0.003,1.23857,44.4493
10,0.95,700,0.00375,2.95791,55.3451
10,0.9,300,0.004615,4.72428,48.0464
30,0.9,500,0.005217,22.1654,69.3704
40,0.98,1500,0.003,8.69179,62.7391
40,0.85,900,0.005217,26.8246,108.197
30,0.95,500,0.00375,12.6323,50.1833
30,0.9,700,0.005,17.2549,80.3323
20,0.95,700,0.00375,6.60646,57.6155
40,0.85,1100,0.004615,19.6822,114.882
10,0.9,1500,0.0042,2.77137,104.256
30,0.9,700,0.005217,18.377,81.1826
50,0.8,900,0.00375,24.4998,116.379
10,0.8,1500,0.005357,3.08939,134.154
5,0.95,1700,0.005,1.70775,108.392
40,0.9,1300,0.005217,20.9087,110.569
30,0.95,1300,0.005357,14.4071,88.8006
10,0.85,900,0.0042,2.81122,89.2385
10,0.8,1700,0.004615,2.51902,137.707
50,0.9,300,0.005217,75.9553,56.0627
30,0.8,900,0.005357,18.9311,120.981
30,0.9,900,0.004615,13.6862,88.4229
20,0.9,700,0.005,9.61286,77.7684
5,0.9,900,0.0042,1.41427,72.8806
40,0.95,1500,0.00375,12.7497,85.4253
5,0.8,1700,0.005217,1.29241,126.914
