PPI,Porosity,Re,Dh,f,Nu
10,0.8,900,0.005,3.33818,104.112
10,0.95,700,0.0042,3.33168,56.2226
10,0.85,100,0.005357,12.6983,37.161
40,0.95,1500,0.005455,20.5243,96.7167
10,0.95,1100,0.00375,2.75977,73.5384
40,0.95,500,0.005357,32.7841,55.5296
10,0.9,1500,0.00375,2.4603,102.624
40,0.98,900,0.005357,22.0913,56.5394
30,0.95,1500,0.004615,11.5389,91.4244
30,0.9,700,0.005455,19.6368,82.09
5,0.85,1100,0.005,1.45293,91.0133
10,0.95,1300,0.00375,2.70495,82.4995
10,0.95,1700,0.005217,3.69362,102.819
40,0.95,100,0.005455,112.863,25.9827
30,0.95,1100,0.00375,9.66074,73.1687
20,0.8,900,0.00375,5.9141,109.369
40,0.95,700,0.0042,19.2064,61.0096
30,0.98,1500,0.005217,12.0243,74.779
30,0.95,500,0.003,9.32573,47.8891
10,0.9,1100,0.005357,3.78505,91.2208
30,0.85,700,0.005,18.4189,94.14
5,0.85,1300,0.005,1.418,100.504
40,0.85,500,0.005357,42.0722,83.0077
30,0.9,900,0.005217,16.2718,91.4445
40,0.98,500,0.005357,30.1444,41.7078
30,0.8,500,0.005217,27.3803,92.6919
10,0.95,1700,0.005,3.53518,102.331
40,0.8,300,0.00375,38.3185,78.9087
10,0.95,1300,0.0042,3.03893,83.2004
10,0.9,100,0.005217,10.5461,30.97
10,0.9,700,0.00375,2.8175,67.4033
40,0.98,700,0.005217,24.0015,49.1351
20,0.98,1300,0.0042,5.85553,66.2493
30,0.9,1700,0.004615,10.951,119.638
30,0.8,300,0.00375,22.88,77.8636
30,0.95,100,0.004615,49.2117,25.8867
50,0.9,300,0.00375,42.4785,54.7364
50,0.85,900,0.005,36.0822,108.005
20,0.85,300,0.00375,10.4047,63.4973
40,0.98,1100,0.004615,16.5154,59.9648
10,0.8,900,0.005217,3.5219,105.022
5,0.9,500,0.00375,1.40906,51.8013
20,0.9,1500,0.005357,8.17865,115.114
30,0.85,1300,0.004615,11.8485,121.892
50,0.95,1500,0.004615,22.1345,91.3381
10,0.98,500,0.005357,4.20024,37.7344
40,0.98,900,0.004615,17.8835,53.8721
5,0.98,300,0.0042,1.64543,25.816
50,0.85,700,0.005,42.9283,96.3825
30,0.95,1500,0.004615,11.5389,91.4244
5,0.95,1500,0.004615,1.59815,98.0258
50,0.9,1300,0.005357,30.0947,112.313
30,0.9,300,0.005,28.8753,54.6376
20,0.95,100,0.005357,30.9248,25.0203
10,0.9,900,0.003,2.10682,74.6014
40,0.95,700,0.005217,26.2803,64.9634
40,0.8,1100,0.005,23.8299,132.514
50,0.85,700,0.005357,48.3146,97.715
10,0.95,1300,0.004615,3.34953,84.0047
20,0.98,1100,0.0042,6.06271,59.5264
20,0.9,300,0.005,14.824,53.0043
20,0.95,900,0.005357,9.52926,71.7584
20,0.98,1100,0.005217,7.84641,62.4564
5,0.85,1300,0.003,0.87417,99.2858
10,0.9,300,0.005357,5.71466,48.8727
20,0.9,1700,0.0042,5.95016,114.658
30,0.8,900,0.005455,19.4926,121.422
50,0.95,100,0.005217,158.08,26.196
40,0.98,300,0.005217,40.3837,32.1067
10,0.85,700,0.005217,3.92903,82.9935
20,0.85,700,0.005217,10.481,91.7799
40,0.85,1300,0.005,20.3302,126.669
50,0.9,1300,0.004615,24.1894,107.056
40,0.85,1300,0.005,20.3302,126.669
10,0.95,1100,0.005455,4.07497,77.0573
10,0.85,700,0.005,3.72937,82.2869
5,0.95,1700,0.00375,1.30488,112.636
20,0.98,1300,0.005455,7.94827,70.0598
20,0.95,500,0.005,10.6444,52.1971
30,0.85,500,0.005,22.875,81.0554
5,0.95,1100,0.004615,1.63795,75.8902
10,0.95,1700,0.005357,3.79573,103.146
10,0.85,500,0.003,2.283,67.0409
10,0.9,1100,0.00375,2.57602,85.4448
40,0.85,100,0.005,147.894,41.5326
40,0.98,700,0.0042,17.4774,45.9117
10,0.9,1300,0.004615,3.12801,97.2683
10,0.9,1100,0.0042,2.90694,86.9661
30,0.95,500,0.005,19.0166,53.763
50,0.85,900,0.004615,31.6328,105.997
20,0.95,1100,0.003,4.61548,69.6523
20,0.85,300,0.0042,12.4435,63.1471
30,0.8,1500,0.004615,11.2766,146.501
10,0.85,300,0.0042,4.2885,57.3876
20,0.8,900,0.00375,5.9141,109.369
50,0.85,1700,0.005,24.8055,144.504
30,0.95,1500,0.00375,8.99914,85.9594
20,0.85,1100,0.005217,8.51143,112.869
30,0.95,1700,0.005357,13.4308,102.499
5,0.98,500,0.003,1.11136,37.1501
30,0.9,300,0.005357,32.4074,55.0315
10,0.9,700,0.005217,4.07546,71.6212
10,0.85,1300,0.004615,2.86315,108.925
10,0.9,700,0.003,2.21523,65.6413
40,0.9,900,0.003,11.2452,80.2887
10,0.95,1500,0.004615,3.29668,92.8031
30,0.85,500,0.004615,20.0585,80.2312
10,0.8,1500,0.005217,2.99443,133.276
5,0.9,900,0.00375,1.27445,72.8065
20,0.95,900,0.005357,9.52926,71.7584
10,0.9,900,0.005455,4.02785,82.2243
30,0.9,700,0.005,17.2549,80.3316
10,0.95,1100,0.005357,3.99837,76.8239
50,0.8,1500,0.005357,31.5017,156.525
5,0.85,1500,0.00375,1.05822,108.578
5,0.9,900,0.005455,1.804,74.4368
10,0.8,500,0.00375,2.94336,79.4511
10,0.85,500,0.005,4.24237,71.0656
30,0.98,500,0.0042,13.4908,38.4463
20,0.9,1100,0.005217,8.64084,97.7409
10,0.95,1500,0.005455,3.91802,94.6793
10,0.95,100,0.005,8.69312,23.3683
10,0.98,1100,0.00375,2.4553,61.6666
30,0.95,100,0.005,56.6959,25.7513
30,0.95,700,0.0042,12.8751,60.405
10,0.8,1500,0.005217,2.99443,133.276
30,0.85,1100,0.005217,15.2978,116.834
10,0.85,1500,0.005217,3.18786,120.693
20,0.9,1100,0.005455,9.14486,98.9884
40,0.95,900,0.00375,14.8672,66.5105
10,0.9,1500,0.005357,3.58961,108.938
20,0.95,500,0.0042,8.46957,50.1589
40,0.98,900,0.003,9.9987,47.4001
40,0.9,1100,0.0042,16.5318,95.6961
10,0.8,1500,0.005357,3.08939,134.153
10,0.9,1300,0.005455,3.74495,100.589
20,0.98,700,0.005217,8.98109,47.8571
20,0.85,1500,0.005357,7.85691,131.78
10,0.95,300,0.005357,5.50036,38.0898
50,0.8,1100,0.004615,30.2286,131.316
40,0.95,700,0.005455,28.0651,65.8275
30,0.95,900,0.003,7.73522,62.4803
10,0.85,100,0.00375,7.27724,43.3527
40,0.9,1500,0.005217,19.7031,118.452
40,0.8,300,0.0042,47.1021,77.0814
40,0.98,900,0.003,9.9987,47.4001
5,0.8,300,0.005455,2.25247,56.9441
30,0.85,300,0.003,14.0108,67.3049
30,0.9,1100,0.004615,12.6297,97.109
10,0.98,1700,0.0042,2.62034,87.5675
30,0.95,500,0.005,19.0166,53.763
30,0.85,300,0.005357,37.5487,64.9452
50,0.85,1500,0.005455,30.3084,140.133
50,0.8,500,0.0042,46.2706,93.7578
20,0.9,1500,0.00375,5.34639,104.334
30,0.95,1300,0.005217,13.9337,88.0613
50,0.95,500,0.0042,31.8525,52.5277
50,0.85,700,0.005,42.9283,96.3825
40,0.8,100,0.005217,193.247,47.1256
20,0.98,100,0.005357,28.8591,18.233
30,0.9,900,0.004615,13.6862,88.4245
50,0.85,100,0.005357,260.275,40.4877
20,0.85,1700,0.005455,7.71984,140.844
30,0.9,700,0.005357,19.1149,81.7193
30,0.98,1100,0.005455,13.9964,63.3093
10,0.9,700,0.004615,3.54584,69.8446
40,0.85,900,0.005217,26.8246,108.2
30,0.9,300,0.0042,21.6787,53.8572
10,0.95,700,0.0042,3.33168,56.2226
40,0.9,1500,0.004615,16.6556,113.777
30,0.85,100,0.0042,61.5455,45.2477
30,0.98,1100,0.005,12.4909,61.6842
50,0.95,1700,0.003,12.3782,84.0968
10,0.95,700,0.003,2.34754,54.403
20,0.8,300,0.005217,19.8676,72.3337
10,0.8,1300,0.00375,2.11792,115.979
20,0.85,700,0.003,4.84416,83.4271
40,0.8,1300,0.005357,23.9679,145.308
40,0.9,1500,0.0042,14.6707,110.366
10,0.9,1300,0.0042,2.829,95.6995
10,0.8,700,0.005,3.68631,93.3742
40,0.98,300,0.005217,40.3837,32.1067
20,0.98,1500,0.005357,7.54441,76.4999
5,0.95,700,0.005455,1.99877,54.8783
20,0.85,500,0.0042,9.10746,76.751
20,0.95,1700,0.005455,8.43593,102.863
40,0.9,500,0.004615,28.9684,68.7586
10,0.85,1500,0.005357,3.28397,121.456
30,0.9,900,0.005217,16.2718,91.4445
50,0.95,900,0.003,14.8716,62.4206
50,0.85,900,0.005,36.0822,108.005
40,0.9,1300,0.0042,15.4581,103.294
40,0.85,100,0.003,56.3707,56.9648
20,0.85,700,0.005217,10.481,91.7799
40,0.85,1100,0.005,22.2637,117.343
5,0.85,500,0.003,1.0571,57.6454
5,0.85,1500,0.004615,1.28934,109.237
30,0.85,900,0.005455,18.2113,107.675
20,0.85,1100,0.00375,5.49526,103.982
40,0.85,100,0.005357,168.786,40.3439
40,0.98,1500,0.00375,11.4312,66.7703
10,0.95,100,0.005357,9.58101,23.3028
30,0.9,1300,0.005217,14.0039,109.152
20,0.85,100,0.005217,42.911,39.7836
20,0.85,900,0.005455,9.87922,104.019
40,0.85,1700,0.005217,18.9623,145.299
40,0.9,700,0.0042,20.5188,78.191
10,0.95,1500,0.005217,3.74155,94.1162
20,0.98,700,0.004615,7.68358,46.4166
30,0.9,300,0.005,28.8753,54.6376
5,0.9,1500,0.005217,1.63609,104.139
30,0.95,900,0.003,7.73522,62.4803
50,0.9,900,0.005357,36.7011,94.2415
20,0.9,500,0.00375,7.49517,63.2584
40,0.85,1300,0.005,20.3302,126.669
20,0.8,1300,0.005,7.50454,135.651
10,0.95,1500,0.005357,3.84545,94.449
50,0.98,700,0.005,31.6499,48.6493
30,0.85,700,0.0042,14.045,91.0864
40,0.9,900,0.004615,20.7609,89.679
20,0.85,500,0.0042,9.10746,76.751
10,0.85,500,0.005357,4.63798,71.8849
10,0.85,1100,0.005,3.2602,101.898
30,0.85,1300,0.005357,14.6609,127.224
40,0.98,900,0.005,20.0192,55.2752
5,0.85,100,0.005,3.58414,33.6399
30,0.95,500,0.00375,12.6323,50.1833
20,0.98,700,0.005217,8.98109,47.8571
40,0.98,1300,0.0042,13.7617,63.7715
30,0.98,1500,0.005,11.4044,73.8687
5,0.9,1100,0.005217,1.68778,84.0562
20,0.95,300,0.005357,14.8885,41.4287
20,0.85,1500,0.005357,7.85691,131.78
40,0.95,1100,0.004615,18.2729,78.1642
20,0.8,700,0.00375,6.69886,99.4861
50,0.9,500,0.005,47.9263,70.3952
20,0.9,900,0.005,8.74213,87.6102
40,0.95,300,0.00375,25.4413,40.7378
10,0.95,1500,0.0042,2.99215,92.0344
20,0.8,1500,0.004615,6.33728,141.722
50,0.85,1300,0.003,13.3096,111.112
20,0.85,700,0.005455,11.1893,92.6381
20,0.85,300,0.0042,12.4435,63.1471
20,0.85,1700,0.005,6.91008,137.236
50,0.85,1300,0.00375,18.4724,117.815
20,0.98,900,0.0042,6.36132,52.6097
10,0.85,1700,0.00375,2.1697,120.893
30,0.8,700,0.003,8.83407,101.578
20,0.85,1300,0.0042,6.01549,115.171
10,0.95,1500,0.005217,3.74155,94.1162
30,0.8,1500,0.005217,13.5173,151.455
40,0.9,300,0.004615,41.2755,55.0069
10,0.98,100,0.005455,9.08322,16.9245
5,0.98,1100,0.00375,1.20392,68.6039
40,0.98,100,0.005357,102.592,19.0956
40,0.95,1300,0.003,10.038,74.3497
10,0.9,300,0.003,2.83031,46.689
10,0.95,300,0.003,2.8615,35.5126
20,0.8,500,0.005217,13.6817,89.9466
50,0.9,1500,0.005217,27.0585,119.222
50,0.98,300,0.005217,59.3529,32.3997
20,0.85,1500,0.005455,8.0439,132.475
50,0.95,300,0.005217,63.8002,43.5686
20,0.85,1100,0.0042,6.36797,106.79
50,0.8,700,0.00375,29.2456,105.859
40,0.9,900,0.005455,26.6611,93.9706
30,0.9,700,0.004615,15.3458,78.7902
5,0.85,1300,0.005357,1.51561,101.373
20,0.98,500,0.005455,10.8642,40.2609
10,0.98,500,0.005,3.88747,37.2649
10,0.8,1100,0.005357,3.39106,115.733
30,0.95,1300,0.003,7.12227,75.0637
40,0.95,300,0.00375,25.4413,40.7378
40,0.95,1300,0.00375,13.2384,79.5145
10,0.85,900,0.00375,2.47134,87.483
10,0.9,1500,0.005217,3.48932,108.35
20,0.9,1100,0.005455,9.14486,98.9884
50,0.85,1300,0.004615,25.342,124.837
40,0.85,1300,0.004615,18.0311,123.792
10,0.95,300,0.0042,4.13894,36.6709
20,0.9,1700,0.005,7.3053,120.417
10,0.8,900,0.005455,3.72643,106.012
20,0.95,900,0.005455,9.7439,72.1134
50,0.9,700,0.005,38.2953,82.2096
5,0.9,500,0.00375,1.40906,51.8013
40,0.95,300,0.005455,46.9122,43.585
40,0.85,1500,0.0042,14.6803,128.353
20,0.9,500,0.005,11.178,66.5792
20,0.9,300,0.00375,9.62481,51.8758
40,0.8,300,0.00375,38.3185,78.9087
5,0.8,1500,0.005357,1.35238,118.495
20,0.8,300,0.005217,19.8676,72.3337
40,0.85,900,0.00375,15.988,100.367
30,0.9,700,0.005455,19.6368,82.09
5,0.95,900,0.005,1.79582,65.0315
50,0.8,300,0.004615,84.9475,76.4081
40,0.9,700,0.0042,20.5188,78.191
5,0.85,1100,0.005217,1.51397,91.5504
50,0.95,1100,0.0042,21.7904,75.9885
20,0.8,500,0.005357,14.2841,90.1478
40,0.95,500,0.0042,22.5978,52.1699
30,0.98,500,0.005,17.3751,40.345
5,0.8,900,0.00375,1.04921,86.4099
20,0.85,300,0.005455,19.0442,63.2152
20,0.8,1100,0.005217,8.61691,127.099
40,0.95,1300,0.004615,17.2745,84.9849
30,0.98,1700,0.005217,11.6427,80.6063
30,0.95,500,0.005217,20.2387,54.3498
20,0.9,500,0.0042,8.75114,64.4623
50,0.85,1700,0.005,24.8055,144.504
40,0.98,700,0.00375,14.8771,44.382
5,0.85,1500,0.00375,1.05822,108.578
20,0.8,700,0.004615,9.1349,102.183
40,0.9,300,0.004615,41.2755,55.0069
50,0.98,1300,0.004615,21.0529,65.223
20,0.98,1500,0.003,3.91733,69.2992
30,0.98,1300,0.003,6.3614,59.5889
40,0.8,1100,0.005357,26.687,134.621
20,0.95,900,0.0042,7.09419,67.3328
40,0.9,700,0.005357,29.8732,82.9696
5,0.95,900,0.004615,1.66985,65.0714
40,0.85,500,0.004615,32.5569,81.4196
30,0.9,100,0.003,27.8722,41.6868
20,0.98,500,0.0042,7.66744,37.7417
30,0.95,1300,0.0042,10.6453,82.389
10,0.95,300,0.005,5.06584,37.6447
50,0.95,900,0.003,14.8716,62.4206
10,0.98,1500,0.005,3.17584,79.1363
40,0.85,500,0.00375,22.9568,79.752
40,0.9,1300,0.005,19.6881,109.083
10,0.8,1300,0.00375,2.11792,115.979
30,0.85,300,0.005,33.2694,64.8784
10,0.9,500,0.005217,4.51111,61.1234
10,0.8,1700,0.005,2.76149,140.327
30,0.98,1100,0.0042,9.99141,58.7012
5,0.85,1300,0.003,0.87417,99.2858
10,0.9,500,0.0042,3.49872,58.7565
40,0.85,1300,0.00375,13.3064,116.854
40,0.85,300,0.00375,33.4051,66.4685
10,0.8,300,0.004615,5.12546,66.8414
5,0.98,1100,0.005357,1.66261,64.9577
40,0.8,900,0.005217,29.2778,122.209
30,0.98,1100,0.003,6.60017,53.9739
20,0.85,100,0.005357,45.0203,39.3825
30,0.85,700,0.005217,19.7018,94.9473
40,0.98,700,0.00375,14.8771,44.382
30,0.85,100,0.004615,73.3623,42.8536
10,0.98,300,0.005455,5.09017,28.652
10,0.8,500,0.0042,3.41044,79.982
5,0.98,700,0.004615,1.52845,45.4073
30,0.9,1100,0.005217,14.9318,100.673
40,0.85,300,0.004615,48.2888,65.7346
20,0.9,1500,0.005,7.52107,112.82
20,0.8,500,0.004615,11.2295,89.1695
20,0.95,1700,0.0042,6.27963,96.2257
20,0.9,1100,0.00375,5.73918,89.5036
30,0.95,1700,0.00375,8.78504,91.9497
20,0.98,100,0.005,25.6919,18.1173
50,0.9,700,0.00375,24.301,76.7773
40,0.85,1300,0.004615,18.0311,123.792
5,0.9,1100,0.005357,1.7302,84.2588
30,0.98,900,0.005217,14.1854,55.8398
30,0.85,500,0.005357,25.6487,81.8338
10,0.95,300,0.005357,5.50036,38.0898
50,0.8,1700,0.004615,22.9854,158.757
10,0.98,900,0.00375,2.52946,53.0352
50,0.8,1100,0.00375,21.4795,125.804
40,0.9,1100,0.00375,14.1196,92.6353
5,0.98,700,0.004615,1.52845,45.4073
40,0.9,700,0.005455,30.7337,83.3494
40,0.9,500,0.005455,38.0639,71.0641
5,0.9,1100,0.005455,1.75978,84.4098
10,0.85,700,0.005,3.72937,82.2869
10,0.95,1300,0.0042,3.03893,83.2004
30,0.85,1100,0.003,7.00046,101.914
50,0.85,1300,0.005357,32.0086,130.338
50,0.85,900,0.00375,22.6421,101.232
20,0.9,1100,0.004615,7.40536,94.4673
30,0.9,700,0.005455,19.6368,82.09
5,0.95,1100,0.004615,1.63795,75.8902
20,0.9,700,0.0042,7.62084,74.6951
40,0.8,1100,0.004615,20.9253,130.174
10,0.98,100,0.0042,6.3271,16.687
40,0.9,700,0.004615,23.6925,79.9647
50,0.85,500,0.003,22.9671,79.5164
5,0.9,300,0.005,2.09035,41.9787
40,0.8,1500,0.0042,15.0766,145.235
20,0.9,300,0.005217,15.8331,53.2422
5,0.9,1700,0.00375,1.18584,115.615
20,0.85,900,0.004615,7.82174,99.9298
40,0.9,1300,0.005357,21.7095,111.513
20,0.8,500,0.00375,8.10859,88.5155
40,0.9,700,0.0042,20.5188,78.191
